"Sample.ID","consensus_Pi","(1-rho)/(rho*psi)","TmS"
"S000156",0.663997679805519,0.206230802983765,0.83756688697491
"S000160",0.726780945245393,0.486772486772487,2.86532493603522
"S000285",0.744906949303928,0.63594470046083,3.9041887906347
"S000303",0.582546295013601,0.53921568627451,1.51482399386082
"S000381",0.82759461773063,0.189452124935996,2.11885726467135
"S000399",0.665310234885447,0.24026512013256,0.982242643036285
"S000408",0.576283631630604,0.803161652218256,2.25325410324615
"S000516",0.735005200742014,0.238621299160407,1.46017165142992
"S000517",0.822377031652904,0.126793460126793,1.23930181602278
"S000518",0.704349493124798,0.970384373030876,4.9197055082013
"S000581",0.726629526663487,0.210970464135021,1.21531969881447
"S000628",0.519974964124996,0.239605355884426,0.523900596190409
"S000800",0.553392498766176,0.559006211180124,1.39172161944943
"S000862",0.657246150375324,0.341253791708797,1.35676648165137
"S000931",0.594276307579497,0.576923076923077,1.72199536025352
"S000938",0.609070370951073,0.402040204020402,1.2940821482933
"S000948",0.635843853970816,0.58287795992714,2.14124331093996
"S000998",0.774213052083126,0.235564492961793,1.77109412868575
"S001067",0.564707427014468,0.530612244897959,1.37991026509387
"S001083",0.576133815882297,0.411671240791564,1.13013292575125
"S001146",0.656352532460541,0.349608197709464,1.39358111648172
"S001152",0.450258036440333,0.85978835978836,1.41352212775775
"S001164",0.703221086058218,0.397936624907885,2.00310216468416
"S001171",0.528655702913583,0.214285714285714,0.484386885386964
"S001187",0.644670790532762,0.333333333333333,1.25052104892687
"S001188",0.614918080914161,1.39492753623188,4.54676310294651
"S001202",0.556958580732046,1.33187374566685,3.36880949335257
"S001380",0.677827943098915,0.208333333333333,0.922327619202788
"S001381",0.51731541316014,0.485294117647059,1.04023730909198
"S001385",0.57144695977127,0.323383084577114,0.876957495330897
"S001473",0.757068097629689,0.340501792114695,2.27627866447753
"S001485",0.712251040391379,0.527351436442345,2.76174862133076
"S001506",0.630220915551102,0.585738539898132,2.02418052966792
"S001523",0.819085952573349,0.132585415604284,1.28402135496875
"S001555",0.653977327271582,0.401234567901235,1.56058533117195
"S002117",0.836447221732443,0.240770465489567,2.65517063050753
"S002156",0.444432911831028,1.26199786704586,2.01951137301568
"S002338",0.652075741065315,0.288763339610797,1.1329528160631
"S002368",0.64437310714619,0.391025641025641,1.46945912246398
"S002370",0.634536535990607,1.18601747815231,4.24169745158832
"S002385",0.646076580180584,0.662935858803272,2.50180778371973
"S002441",0.689346605321277,0.970384373030876,4.5324221264312
"S002493",0.77098045352412,0.270429159318048,2.11532267874019
"S002518",0.754246352981885,0.367231638418079,2.42884827513745
"S002564",0.840993754804657,0.250447227191413,2.71368059890715
"S002602",0.563156399032745,0.701963117192148,1.82071582664859
"S002603",0.690140476532518,0.175675675675676,0.829831493178723
"S002607",0.849247290102447,0.25974025974026,3.01512934308241
"S002652",0.616544283442099,1.22413793103448,3.99636410235445
"S002706",0.745825398947703,0.397094430992736,2.5431520240225
"S003021",0.748909545547694,0.647058823529412,4.23002943826067
"S003078",0.758836380022366,0.452674897119342,3.2586434305802
"S003098",0.618365244720399,0.884353741496599,2.91652846537049
"S003106",0.568569179854828,0.449454759799587,1.19400067725249
"S004227",0.734623392697558,0.21505376344086,1.24637608066342
"S004241",0.577107587491705,0.512327889849504,1.40871140514535
"S004264",0.573411727308171,0.54366292898403,1.48715703910103
"S004321",0.539554009595937,0.571428571428572,1.34644337740444
"S004350",0.558314007302239,0.348692403486924,0.890815811341085
"S004450",0.681409849531086,0.945273631840796,4.11042864340796
"S004481",0.656465062206875,0.612244897959184,2.4057838016147
"S004512",0.540168060600661,0.99935107073329,2.35955970590239
"S004528",0.71961524812867,0.496540496540497,2.69875083743209
"S004575",0.763088902068565,0.262108262108262,1.88587596157077
"S004648",0.666292777300437,0.727739726027397,2.98485092077465
"S004671",0.574963054210835,0.669856459330144,1.83518824518974
"S004674",0.562537220512873,1.42307692307692,3.68661962771655
"S004681",0.576668012495965,1.30929791271347,3.60245058230317
"S004724",0.722370189513545,0.684863523573201,3.97027559945867
"S004726",0.635615112148397,0.748663101604278,2.66575910121281
"S004739",0.749016221670444,0.367063492063492,2.35549290304637
"S004758",0.645019014026992,0.413793103448276,1.55035262703937
"S000002",0.639238999515495,0.564373897707231,2.06362129586687
"S000003",0.491662481019386,0.682773109243697,1.32194596307983
"S000039",0.745090418070373,0.240641711229946,1.55215323192074
"S000049",0.600338213118073,0.174259397560368,0.533276025392799
"S000054",0.578384933935016,0.965608465608466,2.68223765323977
"S000185",0.650600833795864,0.63454759106933,2.503324449617
"S000186",0.576816447814984,0.55859553123575,1.5626326430928
"S000200",0.596674549249,0.363636363636364,1.10013748151502
"S000215",0.748638221014697,0.642529321774605,4.22335920155262
"S000219",0.479872720772208,0.520704190428961,0.961875244976264
"S000439",0.731909327614273,0.279402209226771,1.66720404878214
"S000453",0.705999780847648,0.512820512820513,2.63185264212693
"S000658",0.574076568594665,0.810810810810811,2.21751955553119
"S000712",0.667147817573004,1.65733964700818,6.76344683246419
"S000728",0.725722605406817,0.309930423782416,1.75393873323416
"S000751",0.709779401755134,0.547798066595059,2.76534638257289
"S000761",0.681581948535976,0.543859649122807,2.42868021124317
"S000775",0.680144973928885,1.07994389901823,4.81755995010711
"S000777",0.679416035576647,0.314842578710645,1.37991168917271
"S000779",0.729125528510825,0.263157894736842,1.52053977930437
"S001241",0.581456467428067,0.581748719284536,1.63184710303673
"S001248",0.789654944904049,0.589147286821705,4.65849885579017
"S001268",0.68520960364697,0.436046511627907,2.00356723748163
"S001275",0.669417293201049,0.157894736842105,0.66281611868111
"S001287",0.674088615811102,0.287081339712919,1.26037586552177
"S002357",0.852175857668481,0.181968569065343,2.14155488789833
"S003260",0.774389192019636,0.255681818181818,1.93582638497905
"S003274",0.617519557650045,1.09764789736279,3.62032086848239
"S003386",0.539958023731434,0.952380952380952,2.25020505847489
"S003524",0.730939611621337,0.142857142857143,0.869416141502491
"S003531",0.454536123280612,0.487038491751767,0.812703988165745
"S003547",0.743415792093687,0.175706646294882,1.11507452166202
"S003573",0.737185683095198,0.30952380952381,1.93017881804747
"S003582",0.653172313572943,0.657276995305164,2.55386475804879
"S003634",0.649431008685896,0.262108262108262,0.996505727483879
"S003641",0.823130217267863,0.160984848484848,1.57345861537211
"S003742",0.526271191878657,0.582935877053524,1.30289958066401
"S003781",0.673412801963189,0.816326530612245,3.52937290585391
"S003808",0.706493585205239,0.55921052631579,2.86954201183498
"S003816",0.572193041163057,0.897435897435897,2.43153023092368
"S003817",0.670745207390629,0.114832535885167,0.489459070339943
"S003880",0.586110759159702,1.24023105674482,3.60385247713428
"S003935",0.526460694818627,0.928571428571429,2.06804937254297
"S003969",0.561262480080088,0.452771272443404,1.17093001819249
"S004021",0.782810040268874,0.165912518853695,1.32078362873904
"S004022",0.781505221891779,0.235690235690236,1.78717982688712
"S004048",0.692672423185725,0.0949367088607595,0.452696303157234
"S004057",0.590673165791714,2.22222222222222,6.50786857031236
"S004126",0.69270577644979,0.46875,2.18849385169562
"S004151",0.744589692463719,0.175438596491228,1.10497581433837
"S004743",0.734257778513728,0.097165991902834,0.572628239673255
"S004858",0.714845554895076,0.401685118056236,2.12297096159923
"S004914",0.507316677152255,0.389000670690812,0.80958239751975
"S004962",0.648527758126734,0.387596899224806,1.46720014300309
"S005040",0.702378423152627,0.479674796747968,2.34364554816502
"S005098",0.563308773039383,0.427350427350427,1.12523096527243
"S005106",0.766628013222592,0.404040404040404,2.86332755587414
"S005181",0.61726512371821,0.43684710351377,1.44420584831051
"S005239",0.629875492197395,0.451063829787234,1.57702824540768
"S005242",0.745010282748813,0.162271805273834,1.02300671139048
"S005401",0.755250765922142,0.312907431551499,2.11241103525497
"S005461",0.620513532557727,0.627705627705628,2.08070773715297
"S005511",0.766765093431891,0.327635327635328,2.22683657296502
"S005543",0.710922646719502,0.644567219152854,3.32915858594012
"S005636",0.547464545988141,0.243055555555556,0.596987438612969
"S005792",0.714602600867836,0.535441101478837,2.88971228275455
"S005844",0.541044999035781,1.01948638534004,2.41485593438044
"S006007",0.571163690385202,0.690476190476191,1.86159537598435
"S006059",0.657817799550204,0.746879476161244,2.9967287197108
"S006070",0.772677492161048,0.402298850574713,2.90855947095967
"S006147",0.729323844417949,0.442260442260442,2.55012198059352
"S006551",0.678223281832954,0.974358974358974,4.40587457985807
"S006556",0.621322742548918,0.514411692659427,1.76332971924246
